C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,x
2.3003732384506685e-125,9.92934866267e-151,2.1676303162331056e-105,4.040527058414003e-136,2.1483244802001533e-130,1.826611306718397e-147,2.481520918887498e-160,2.5253401905453534e-82,2.2487217684618757e-105,3.382703734038489e-110,-1.25
1.5368951796310026e-124,7.999881278198022e-150,1.2316085842534823e-104,2.9309094288106624e-135,1.4921431528866876e-129,1.4385667192221347e-146,2.1368552049297467e-159,1.1669639962587568e-81,1.2788960259314549e-104,2.0042384628339006e-109,-1.248
1.020259759138106e-123,6.404228783988486e-149,6.953135830167576e-104,2.112454151941699e-134,1.0297732800172965e-128,1.1257303925370466e-145,1.828322335230398e-158,5.358158287718835e-81,7.226953610549776e-104,1.1799337782433463e-108,-1.246
6.72973302484331e-123,5.094137343380756e-148,3.9004007832035715e-103,1.5128389628025269e-133,7.06143982470809e-128,8.753047579899416e-145,1.5543576314432976e-157,2.4445230485073335e-80,4.057848341136878e-103,6.902218437699568e-108,-1.244
4.4106793280154897e-122,4.026196590725986e-147,2.1739936529569977e-102,1.0765113811324194e-132,4.8113330604216995e-127,6.762459893046486e-144,1.3130148869747457e-156,1.1081364720107395e-79,2.2638980821661226e-102,4.011830730084803e-107,-1.242
2.8723258373278534e-121,3.1618394878150733e-146,1.2040037067524229e-101,7.611409105934124e-132,3.257302525302545e-126,5.191234302788721e-143,1.1020692017394998e-155,4.9912908422499005e-79,1.2549847455233448e-101,2.316964338202066e-106,-1.24
1.8585853062818126e-120,2.4672046594768855e-145,6.625488301211307e-101,5.347268856406015e-131,2.1911458452351065e-125,3.9596525083585844e-142,9.191123396767044e-155,2.2338449215432163e-78,6.912585845830631e-101,1.3295937267058616e-105,-1.238
1.1949558769758953e-119,1.9128946364257771e-144,3.622667494617493e-100,3.7326690960169616e-130,1.4645526557048142e-124,3.000986445676459e-141,7.61638419488588e-154,9.933760353738955e-78,3.783233476716256e-100,7.581260794758972e-105,-1.236
7.633818273374427e-119,1.4736604823219353e-143,1.9681562442991944e-99,2.5889727353477104e-129,9.72655867509557e-124,2.259911896577942e-140,6.271184886070957e-153,4.3892958310144936e-77,2.0573409267693743e-99,4.2952337059662624e-104,-1.234
4.845653371567967e-118,1.1280395876782506e-142,1.062456568624531e-98,1.7842511197025524e-128,6.418505927897847e-123,1.6909839992873453e-139,5.130632190972182e-152,1.927065789950243e-76,1.1116546851364575e-98,2.4179930964430464e-103,-1.232
