P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,x
2.0087644889601463e-96,3.20756981103323e-121,6.877703416306969e-23,2.0659307089015552e-104,7.655370303986196e-25,1.109763182916023e-31,4.268017083603903e-155,2.2486483956808583e-91,7.257358586540406e-100,9.634054331620611e-37,-1.25
1.059604699609794e-95,2.0787813369460044e-120,1.4898379807440763e-22,1.1682325420018432e-103,1.72967447846345e-24,2.792201956878726e-31,3.553955862027155e-154,1.1310090169445965e-90,3.945326838923515e-99,2.6352714129537733e-36,-1.248
5.553659441882091e-95,1.3386345078513728e-119,3.206676540370386e-22,6.563921271456942e-103,3.883386810322616e-24,6.980457016727403e-31,2.9404813271957344e-153,5.652376789490012e-90,2.1311203450173878e-98,7.162458619531355e-36,-1.246
2.892245332358323e-94,8.565165098256514e-119,6.857910023044719e-22,3.66452714007321e-102,8.663741363437407e-24,1.7339692959361193e-30,2.4173822962533665e-152,2.8068335875649053e-89,1.1438091048273589e-97,1.9342803334245582e-35,-1.244
1.496619944009499e-93,5.445402374387105e-118,1.4572998706453997e-21,2.032792439931262e-101,1.9206548195632024e-23,4.279760484531858e-30,1.9746619777860917e-151,1.3849138198304342e-88,6.0998578099783e-97,5.190356899259989e-35,-1.242
7.694996792705887e-93,3.439891381414966e-117,3.076993545345142e-21,1.1204401076486006e-100,4.230996256816704e-23,1.0495860307047759e-29,1.6027312537022565e-150,6.789680799703762e-88,3.232261315721319e-96,1.3838707906428948e-34,-1.24
3.931206645346628e-92,2.1591359959952167e-116,6.4554238050708775e-21,6.136274394014145e-100,9.261597693390862e-23,2.5576265709151646e-29,1.2925553904343212e-149,3.3074743929677577e-87,1.7018207347221e-95,3.6661850240104824e-34,-1.238
1.9955555363261776e-91,1.346591229345331e-115,1.3456851160131252e-20,3.339192159032623e-99,2.014557232661235e-22,6.192652984530235e-29,1.0357576169768169e-148,1.6008997933367052e-86,8.903110277752749e-95,9.650587008074261e-34,-1.236
1.0065196999247314e-90,8.344725987297488e-115,2.7872931900743644e-20,1.805504468345561e-98,4.354358847498813e-22,1.489830529120574e-28,8.246841044126365e-148,7.699319324890655e-86,4.6279674245564057e-94,2.524140920416257e-33,-1.234
5.044304042348148e-90,5.138175036327855e-114,5.736438922136044e-20,9.70010060381046e-98,9.352338562424965e-22,3.561373400611045e-28,6.524355651108923e-147,3.6792647672355054e-85,2.3903386587437385e-93,6.559851071853724e-33,-1.232
2.5118907515008182e-89,3.1435923585984485e-113,1.17306643723832e-19,5.17814759093266e-97,1.9960348204551098e-21,8.458993049312116e-28,5.128710031997399e-146,1.7469894313158981e-84,1.2267305519636399e-92,1.693927728644438e-32,-1.23
1.2428558293033135e-88,1.9110148830625063e-112,2.383545024679556e-19,2.7465855218201913e-96,4.2331961659710155e-21,1.9963668134856713e-27,4.005891474260779e-145,8.242141015965996e-84,6.255464087155576e-92,4.3462658759280697e-32,-1.228
6.110282302204658e-88,1.1543099244762482e-111,4.812210608322789e-19,1.4475458991131607e-95,8.921164894908955e-21,4.681473095476311e-27,3.1089284604576964e-144,3.863761682403834e-83,3.169498124054911e-91,1.1080470918213874e-31,-1.226
2.984848638323544e-87,6.927895133526047e-111,9.653535712316332e-19,7.580399172838498e-95,1.8682205297430947e-20,1.090800274030531e-26,2.397412653080453e-143,1.7997042815290162e-82,1.595666313290538e-90,2.8068594194867648e-31,-1.224
1.4487847489236696e-86,4.131432828445304e-110,1.924193327265495e-18,3.944321647323057e-94,3.887663156500434e-20,2.525390029796383e-26,1.8369416994042338e-142,8.329376575675526e-82,7.98204682260786e-90,7.064860982000737e-31,-1.222
6.987244388339717e-86,2.4480517955424264e-109,3.810934779422501e-18,2.0392622787718133e-93,8.039028198022701e-20,5.809412321422497e-26,1.3985193126980608e-141,3.8304021626371426e-81,3.967410019761724e-89,1.7668801617966235e-30,-1.22
3.3483320262942875e-85,1.4413220271703986e-108,7.499543760872635e-18,1.0475972847839955e-92,1.651860752089536e-19,1.3278727493882593e-25,1.0579425352066332e-140,1.7502366777923285e-80,1.9593883633682128e-88,4.39067290133687e-30,-1.218
1.594305761043808e-84,8.431832307210096e-108,1.4664210504754315e-17,5.347319793502299e-92,3.372863814142946e-19,3.0157909418107585e-25,7.951996941009322e-140,7.946387110740006e-80,9.615117386769665e-88,1.084115587396608e-29,-1.216
7.542845798363269e-84,4.901211149979688e-107,2.849069504950634e-17,2.7120548359129423e-91,6.843530407730358e-19,6.805601629943938e-25,5.938966087844209e-139,3.5847856038573575e-79,4.6882340881047275e-87,2.6597487214508385e-29,-1.214
3.5458418260617195e-83,2.8307751879290664e-106,5.50006620981007e-17,1.3667254782875228e-90,1.3798064151960278e-18,1.5259922667607443e-24,4.407232904407157e-138,1.6068568473155205e-78,2.2713529280631026e-86,6.483748255657277e-29,-1.212
1.6562427991571157e-82,1.6245304760986907e-105,1.0550020564335234e-16,6.843600194626559e-90,2.7644785595345116e-18,3.399841411976375e-24,3.2496880511468685e-137,7.156682024554785e-78,1.0934038362529735e-85,1.5704792217923628e-28,-1.21
7.686863390908523e-82,9.263409462096902e-105,2.010755244411188e-16,3.404932327012512e-89,5.503841887543995e-18,7.52636895676521e-24,2.3808819392190573e-136,3.1671365583458854e-77,5.22994605081787e-85,3.7797124470706706e-28,-1.208
3.5448253119772e-81,5.2484900066152945e-104,3.807900829125099e-16,1.6832664012842468e-88,1.0888721322758415e-17,1.6555140382083297e-23,1.7332234765646445e-135,1.3926513089933113e-76,2.485618498852279e-84,9.038697294897511e-28,-1.206
1.624280492980573e-80,2.9547340935567035e-103,7.165270063763497e-16,8.268328831461892e-88,2.1406545379470848e-17,3.61826815510654e-23,1.253694673206289e-134,6.084691018324037e-76,1.1737953594322588e-83,2.1476991180044536e-27,-1.204
7.395162719270648e-80,1.6528100594160644e-102,1.3396767298668414e-15,4.0355537945215025e-87,4.181919038203197e-17,7.857586149126782e-23,9.010512917074783e-134,2.641527911249803e-75,5.507708678922652e-83,5.0706256702859e-27,-1.202
